VERSION,CPUs,PARAMETER,INSTANCE_VALUE
11.1.0.7,6,_enqueue_hash_chain_latches,6                                                                                                             
11.1.0.7,6,_enqueue_locks,1690                                                                                                                       
11.1.0.7,6,_flashback_generation_buffer_size,25165824                                                                                                
11.1.0.7,6,_kghdsidx_count,2                                                                                                                         
11.1.0.7,6,_log_parallelism_max,2                                                                                                                    
11.1.0.7,6,_log_simultaneous_copies,12                                                                                                               
11.1.0.7,6,_num_longop_child_latches,6                                                                                                               
11.1.0.7,6,_parallel_min_message_pool,1076000                                                                                                        
11.1.0.7,6,_shared_server_num_queues,2                                                                                                               
11.1.0.7,6,_small_table_threshold,31717                                                                                                              
11.1.0.7,6,_spin_count,2000                                                                                                                          
11.1.0.7,6,_sqlmon_max_plan,120                                                                                                                      
11.1.0.7,6,cpu_count,6                                                                                                                               
11.1.0.7,6,db_writer_processes,2                                                                                                                     
11.1.0.7,6,log_buffer,4197376                                                                                                                        
11.1.0.7,6,parallel_max_servers,60                                                                                                                   
11.1.0.7,7,__db_cache_size,12884901888                                                                                                               
11.1.0.7,7,__shared_pool_size,738197504                                                                                                              
11.1.0.7,7,_cursor_db_buffers_pinned,15856                                                                                                           
11.1.0.7,7,_db_block_buffers,1585890                                                                                                                 
11.1.0.7,7,_db_block_lru_latches,32                                                                                                                  
11.1.0.7,7,_enqueue_hash_chain_latches,7                                                                                                             
11.1.0.7,7,_enqueue_locks,1710                                                                                                                       
11.1.0.7,7,_flashback_generation_buffer_size,29360128                                                                                                
11.1.0.7,7,_kghdsidx_count,2                                                                                                                         
11.1.0.7,7,_log_parallelism_max,2                                                                                                                    
11.1.0.7,7,_log_simultaneous_copies,14                                                                                                               
11.1.0.7,7,_num_longop_child_latches,7                                                                                                               
11.1.0.7,7,_parallel_min_message_pool,1076000                                                                                                        
11.1.0.7,7,_shared_server_num_queues,2                                                                                                               
11.1.0.7,7,_small_table_threshold,31717                                                                                                              
11.1.0.7,7,_spin_count,2000                                                                                                                          
11.1.0.7,7,_sqlmon_max_plan,140                                                                                                                      
11.1.0.7,7,cpu_count,7                                                                                                                               
11.1.0.7,7,db_writer_processes,2                                                                                                                     
11.1.0.7,7,log_buffer,4197376                                                                                                                        
11.1.0.7,7,parallel_max_servers,70                                                                                                                   
11.1.0.7,8,__db_cache_size,12952010752                                                                                                               
11.1.0.7,8,__shared_pool_size,671088640                                                                                                              
11.1.0.7,8,_cursor_db_buffers_pinned,15856                                                                                                           
11.1.0.7,8,_db_block_buffers,1585890                                                                                                                 
11.1.0.7,8,_db_block_lru_latches,32                                                                                                                  
11.1.0.7,8,_enqueue_hash_chain_latches,8                                                                                                             
11.1.0.7,8,_enqueue_locks,1730                                                                                                                       
11.1.0.7,8,_flashback_generation_buffer_size,33554432                                                                                                
11.1.0.7,8,_kghdsidx_count,2                                                                                                                         
11.1.0.7,8,_log_parallelism_max,2                                                                                                                    
11.1.0.7,8,_log_simultaneous_copies,16                                                                                                               
11.1.0.7,8,_num_longop_child_latches,8                                                                                                               
11.1.0.7,8,_parallel_min_message_pool,1076000                                                                                                        
11.1.0.7,8,_shared_server_num_queues,2                                                                                                               
11.1.0.7,8,_small_table_threshold,31717                                                                                                              
11.1.0.7,8,_spin_count,2000                                                                                                                          
11.1.0.7,8,_sqlmon_max_plan,160                                                                                                                      
11.1.0.7,8,cpu_count,8                                                                                                                               
11.1.0.7,8,db_writer_processes,2                                                                                                                     
11.1.0.7,8,log_buffer,4197376                                                                                                                        
11.1.0.7,8,parallel_max_servers,80                                                                                                                   
11.1.0.7,9,__db_cache_size,12750684160                                                                                                               
11.1.0.7,9,__shared_pool_size,872415232                                                                                                              
11.1.0.7,9,_cursor_db_buffers_pinned,15856                                                                                                           
11.1.0.7,9,_db_block_buffers,1585890                                                                                                                 
11.1.0.7,9,_db_block_lru_latches,32                                                                                                                  
11.1.0.7,9,_enqueue_hash_chain_latches,9                                                                                                             
11.1.0.7,9,_enqueue_locks,1740                                                                                                                       
11.1.0.7,9,_flashback_generation_buffer_size,37748736                                                                                                
11.1.0.7,9,_kghdsidx_count,3                                                                                                                         
11.1.0.7,9,_log_parallelism_max,2                                                                                                                    
11.1.0.7,9,_log_simultaneous_copies,18                                                                                                               
11.1.0.7,9,_num_longop_child_latches,9                                                                                                               
11.1.0.7,9,_parallel_min_message_pool,1076000                                                                                                        
11.1.0.7,9,_shared_server_num_queues,2                                                                                                               
11.1.0.7,9,_small_table_threshold,31717                                                                                                              
11.1.0.7,9,_spin_count,2000                                                                                                                          
11.1.0.7,9,_sqlmon_max_plan,180                                                                                                                      
11.1.0.7,9,cpu_count,9                                                                                                                               
11.1.0.7,9,db_writer_processes,2                                                                                                                     
11.1.0.7,9,log_buffer,4197376                                                                                                                        
11.1.0.7,9,parallel_max_servers,85                                                                                                                   
11.1.0.7,10,__db_cache_size,12683575296                                                                                                              
11.1.0.7,10,__shared_pool_size,939524096                                                                                                             
11.1.0.7,10,_cursor_db_buffers_pinned,15856                                                                                                          
11.1.0.7,10,_db_block_buffers,1585890                                                                                                                
11.1.0.7,10,_db_block_lru_latches,48                                                                                                                 
11.1.0.7,10,_enqueue_hash_chain_latches,10                                                                                                           
11.1.0.7,10,_enqueue_locks,1740                                                                                                                      
11.1.0.7,10,_flashback_generation_buffer_size,41943040                                                                                               
11.1.0.7,10,_kghdsidx_count,3                                                                                                                        
11.1.0.7,10,_log_parallelism_max,2                                                                                                                   
11.1.0.7,10,_log_simultaneous_copies,20                                                                                                              
11.1.0.7,10,_num_longop_child_latches,10                                                                                                             
11.1.0.7,10,_parallel_min_message_pool,1076000                                                                                                       
11.1.0.7,10,_shared_server_num_queues,2                                                                                                              
11.1.0.7,10,_small_table_threshold,31717                                                                                                             
11.1.0.7,10,_spin_count,2000                                                                                                                         
11.1.0.7,10,_sqlmon_max_plan,200                                                                                                                     
11.1.0.7,10,cpu_count,10                                                                                                                             
11.1.0.7,10,db_writer_processes,2                                                                                                                    
11.1.0.7,10,log_buffer,4197376                                                                                                                       
11.1.0.7,10,parallel_max_servers,85                                                                                                                  
11.1.0.7,11,__db_cache_size,12683575296                                                                                                              
11.1.0.7,11,__shared_pool_size,939524096                                                                                                             
11.1.0.7,11,_cursor_db_buffers_pinned,15856                                                                                                          
11.1.0.7,11,_db_block_buffers,1585890                                                                                                                
11.1.0.7,11,_db_block_lru_latches,48                                                                                                                 
11.1.0.7,11,_enqueue_hash_chain_latches,11                                                                                                           
11.1.0.7,11,_enqueue_locks,1740                                                                                                                      
11.1.0.7,11,_flashback_generation_buffer_size,46137344                                                                                               
11.1.0.7,11,_kghdsidx_count,3                                                                                                                        
11.1.0.7,11,_log_parallelism_max,2                                                                                                                   
11.1.0.7,11,_log_simultaneous_copies,22                                                                                                              
11.1.0.7,11,_num_longop_child_latches,11                                                                                                             
11.1.0.7,11,_parallel_min_message_pool,1076000                                                                                                       
11.1.0.7,11,_shared_server_num_queues,2                                                                                                              
11.1.0.7,11,_small_table_threshold,31717                                                                                                             
11.1.0.7,11,_spin_count,2000                                                                                                                         
11.1.0.7,11,_sqlmon_max_plan,220                                                                                                                     
11.1.0.7,11,cpu_count,11                                                                                                                             
11.1.0.7,11,db_writer_processes,2                                                                                                                    
11.1.0.7,11,log_buffer,4197376                                                                                                                       
11.1.0.7,11,parallel_max_servers,85                                                                                                                  
11.1.0.7,12,__db_cache_size,12683575296                                                                                                              
11.1.0.7,12,__shared_pool_size,939524096                                                                                                             
11.1.0.7,12,_cursor_db_buffers_pinned,15856                                                                                                          
11.1.0.7,12,_db_block_buffers,1585890                                                                                                                
11.1.0.7,12,_db_block_lru_latches,48                                                                                                                 
11.1.0.7,12,_enqueue_hash_chain_latches,12                                                                                                           
11.1.0.7,12,_enqueue_locks,1740                                                                                                                      
11.1.0.7,12,_flashback_generation_buffer_size,50331648                                                                                               
11.1.0.7,12,_kghdsidx_count,3                                                                                                                        
11.1.0.7,12,_log_parallelism_max,2                                                                                                                   
11.1.0.7,12,_log_simultaneous_copies,24                                                                                                              
11.1.0.7,12,_num_longop_child_latches,12                                                                                                             
11.1.0.7,12,_parallel_min_message_pool,1076000                                                                                                       
11.1.0.7,12,_shared_server_num_queues,2                                                                                                              
11.1.0.7,12,_small_table_threshold,31717                                                                                                             
11.1.0.7,12,_spin_count,2000                                                                                                                         
11.1.0.7,12,_sqlmon_max_plan,240                                                                                                                     
11.1.0.7,12,cpu_count,12                                                                                                                             
11.1.0.7,12,db_writer_processes,2                                                                                                                    
11.1.0.7,12,log_buffer,4197376                                                                                                                       
11.1.0.7,12,parallel_max_servers,85                                                                                                                  
11.1.0.7,13,__db_cache_size,12482248704                                                                                                              
11.1.0.7,13,__shared_pool_size,1140850688                                                                                                            
11.1.0.7,13,_cursor_db_buffers_pinned,15856                                                                                                          
11.1.0.7,13,_db_block_buffers,1585890                                                                                                                
11.1.0.7,13,_db_block_lru_latches,48                                                                                                                 
11.1.0.7,13,_enqueue_hash_chain_latches,13                                                                                                           
11.1.0.7,13,_enqueue_locks,1740                                                                                                                      
11.1.0.7,13,_flashback_generation_buffer_size,54525952                                                                                               
11.1.0.7,13,_kghdsidx_count,4                                                                                                                        
11.1.0.7,13,_log_parallelism_max,2                                                                                                                   
11.1.0.7,13,_log_simultaneous_copies,26                                                                                                              
11.1.0.7,13,_num_longop_child_latches,13                                                                                                             
11.1.0.7,13,_parallel_min_message_pool,1076000                                                                                                       
11.1.0.7,13,_shared_server_num_queues,2                                                                                                              
11.1.0.7,13,_small_table_threshold,31717                                                                                                             
11.1.0.7,13,_spin_count,2000                                                                                                                         
11.1.0.7,13,_sqlmon_max_plan,260                                                                                                                     
11.1.0.7,13,cpu_count,13                                                                                                                             
11.1.0.7,13,db_writer_processes,2                                                                                                                    
11.1.0.7,13,log_buffer,4197376                                                                                                                       
11.1.0.7,13,parallel_max_servers,85                                                                                                                  
11.1.0.7,14,__db_cache_size,12482248704                                                                                                              
11.1.0.7,14,__shared_pool_size,1140850688                                                                                                            
11.1.0.7,14,_cursor_db_buffers_pinned,15856                                                                                                          
11.1.0.7,14,_db_block_buffers,1585890                                                                                                                
11.1.0.7,14,_db_block_lru_latches,64                                                                                                                 
11.1.0.7,14,_enqueue_hash_chain_latches,14                                                                                                           
11.1.0.7,14,_enqueue_locks,1740                                                                                                                      
11.1.0.7,14,_flashback_generation_buffer_size,58720256                                                                                               
11.1.0.7,14,_kghdsidx_count,4                                                                                                                        
11.1.0.7,14,_log_parallelism_max,2                                                                                                                   
11.1.0.7,14,_log_simultaneous_copies,28                                                                                                              
11.1.0.7,14,_num_longop_child_latches,14                                                                                                             
11.1.0.7,14,_parallel_min_message_pool,1076000                                                                                                       
11.1.0.7,14,_shared_server_num_queues,2                                                                                                              
11.1.0.7,14,_small_table_threshold,31717                                                                                                             
11.1.0.7,14,_spin_count,2000                                                                                                                         
11.1.0.7,14,_sqlmon_max_plan,280                                                                                                                     
11.1.0.7,14,cpu_count,14                                                                                                                             
11.1.0.7,14,db_writer_processes,2                                                                                                                    
11.1.0.7,14,log_buffer,4197376                                                                                                                       
11.1.0.7,14,parallel_max_servers,85                                                                                                                  
11.1.0.7,15,__db_cache_size,12549357568                                                                                                              
11.1.0.7,15,__shared_pool_size,1073741824                                                                                                            
11.1.0.7,15,_cursor_db_buffers_pinned,15856                                                                                                          
11.1.0.7,15,_db_block_buffers,1585890                                                                                                                
11.1.0.7,15,_db_block_lru_latches,64                                                                                                                 
11.1.0.7,15,_enqueue_hash_chain_latches,15                                                                                                           
